,County,Total Positive Cases,Total Deaths,Population,Rate of Infection,Pop Density,Mean Household Size,Congregate Living Population,No. of Cases in Nursing Homes,No. of Nursing Homes in County,"Nursing Home Cases, % of Total",Cases per number of Nursing Home
0,Aitkin,1191,33,15870.0,0.07504725897920606,8.0,2.09723341391351,254.0,118.0,4.0,0.09907640638119228,29.5
1,Anoka,33391,390,362648.0,0.09207551123954909,753.9,2.71271570131745,3753.0,1675.0,35.0,0.05016321763349405,47.857142857142854
2,Becker,3131,42,34545.0,0.09063540309740918,22.8,2.3939287471014,477.0,294.0,8.0,0.09389971255190036,36.75
3,Beltrami,3386,51,47184.0,0.07176161410647677,14.8,2.48701298701299,1990.0,264.0,11.0,0.07796810395747195,24.0
4,Benton,4482,90,40895.0,0.10959775033622693,94.4,2.42661388550548,1050.0,557.0,11.0,0.12427487728692548,50.63636363636363
5,Big Stone,516,3,4993.0,0.10334468255557781,9.8,2.17076441662941,137.0,41.0,4.0,0.07945736434108527,10.25
6,Blue Earth,5983,35,68583.0,0.08723736202849103,84.5,2.38016773192448,4159.0,438.0,19.0,0.07320742102624102,23.05263157894737
7,Brown,2461,37,25119.0,0.0979736454476691,41.3,2.19659839063643,1097.0,302.0,11.0,0.12271434376269809,27.454545454545453
8,Carlton,3001,49,35935.0,0.08351189647975511,40.5,2.45263386082809,1993.0,198.0,10.0,0.06597800733088971,19.8
9,Carver,7798,40,107179.0,0.07275679004282555,250.5,2.7658450245972,918.0,339.0,17.0,0.043472685303924084,19.941176470588236
10,Cass,2207,24,29754.0,0.07417490085366674,11.8,2.33188668823483,202.0,100.0,7.0,0.045310376076121435,14.285714285714286
11,Chippewa,1367,35,11858.0,0.11528082307303086,20.8,2.25885558583106,252.0,215.0,6.0,0.1572787125091441,35.833333333333336
12,Chisago,5003,45,56613.0,0.08837192870895377,121.6,2.65028483151492,1715.0,232.0,10.0,0.04637217669398361,23.2
13,Clay,6936,87,64591.0,0.10738338158566983,57.2,2.43761859582543,2929.0,401.0,16.0,0.05781430219146482,25.0625
14,Clearwater,719,14,8808.0,0.08163033605812897,8.5,2.40657822001106,101.0,104.0,3.0,0.14464534075104313,34.666666666666664
15,Cook,118,0,5462.0,0.021603808128890515,1.6,1.99963058736609,49.0,0.0,0.0,0.0,0.0
16,Cottonwood,1354,20,11216.0,0.12072039942938659,18.0,2.27977551444606,248.0,155.0,5.0,0.11447562776957164,31.0
17,Crow Wing,5223,82,65274.0,0.08001654563838588,54.4,2.34236524771175,784.0,353.0,18.0,0.06758567872869999,19.61111111111111
18,Dakota,36478,392,433302.0,0.0841860873016972,691.0,2.58800367896797,2785.0,1987.0,53.0,0.05447118811338341,37.490566037735846
19,Dodge,1535,4,20943.0,0.07329417943943084,46.1,2.63081983805668,149.0,25.0,2.0,0.016286644951140065,12.5
20,Douglas,3936,68,38220.0,0.10298273155416013,50.6,2.25501106922755,532.0,506.0,12.0,0.1285569105691057,42.166666666666664
21,Faribault,1240,17,13580.0,0.09131075110456553,19.9,2.17605863192182,219.0,175.0,8.0,0.14112903225806453,21.875
22,Fillmore,1383,8,21060.0,0.06566951566951566,24.2,2.37120604741725,357.0,105.0,11.0,0.07592190889370933,9.545454545454545
23,Freeborn,2841,24,30364.0,0.09356474772757213,43.0,2.26959774063049,630.0,258.0,9.0,0.0908130939809926,28.666666666666668
24,Goodhue,3875,69,46449.0,0.08342483153566277,59.4,2.34970084588405,893.0,443.0,13.0,0.11432258064516129,34.07692307692308
25,Grant,491,8,5967.0,0.08228590581531758,10.4,2.21950301204819,72.0,25.0,4.0,0.05091649694501019,6.25
26,Hennepin,101110,1588,1279981.0,0.07899336005768835,1952.2,2.38353324279394,26867.0,7457.0,168.0,0.0737513599050539,44.38690476190476
27,Houston,1580,14,18626.0,0.08482766025985182,33.2,2.28280064668574,270.0,120.0,8.0,0.0759493670886076,15.0
28,Hubbard,1607,41,21494.0,0.07476505071182656,20.5,2.32247876279678,169.0,131.0,5.0,0.08151835718730553,26.2
29,Isanti,3076,56,40566.0,0.07582704728097421,84.6,2.63874276696476,436.0,280.0,6.0,0.09102730819245773,46.666666666666664
30,Itasca,3140,46,45203.0,0.06946441607857885,15.5,2.27715626127752,1033.0,247.0,15.0,0.0786624203821656,16.466666666666665
