ZIP,Cases
missing,1180
55001,171
55002,0
55003,1179
55005,317
55006,242
55007,155
55008,1271
55009,550
55010,<=5
55011,971
55012,179
55013,649
55014,2524
55016,3084
55017,71
55018,45
55019,145
55020,290
55021,4262
55024,2849
55025,2181
55026,39
55027,287
55029,0
55030,104
55031,144
55032,306
55033,2547
55036,7
55037,309
55038,1930
55040,1026
55041,714
55042,994
55043,207
55044,4996
55045,658
55046,496
55047,148
55049,241
55051,715
55052,150
55053,70
55054,211
55055,349
55056,1196
55057,1448
55060,2352
55063,727
55065,94
55066,1625
55067,<=5
55068,2500
55069,569
55070,709
55071,497
55072,977
55073,240
55074,192
55075,1858
55076,1921
55077,1230
55078,<=5
55079,628
55080,232
55082,3025
55083,<=5
55084,123
55085,36
55087,37
55088,128
55089,146
55090,30
55092,904
55101,501
55102,1467
55103,1201
55104,3085
55105,1560
55106,5415
55107,1436
55108,905
55109,3282
55110,2943
55111,<=5
55112,3953
55113,3135
55114,358
55115,696
55116,1551
55117,3866
55118,2645
55119,4029
55120,358
55121,756
55122,2396
55123,1973
55124,4687
55125,3196
55126,1813
55127,1289
55128,2671
55129,2176
55130,1688
55133,<=5
55144,<=5
55145,0
55146,0
55150,16
55155,<=5
55161,0
55164,<=5
55165,0
55166,0
55168,<=5
55169,0
55170,0
55171,0
55172,<=5
55175,0
55177,0
55187,<=5
55188,<=5
55191,0
55301,1124
55302,692
55303,4809
55304,4454
55305,1488
55306,1630
55307,250
55308,847
55309,1725
55310,149
55311,2768
55312,150
55313,2213
55314,117
55315,494
55316,2119
55317,1483
55318,2216
55319,514
55320,426
55321,426
55322,274
55323,10
55324,114
55325,427
55327,466
55328,681
55329,178
55330,3842
55331,1424
55332,226
55333,89
55334,278
55335,152
55336,893
55337,4129
55338,110
55339,100
55340,723
55341,275
55342,168
55343,2000
55344,1072
55345,1217
55346,999
55347,1834
55348,<=5
55349,354
55350,1520
55352,828
55353,293
55354,268
55355,834
55356,406
55357,266
55358,453
55359,423
55360,291
55361,0
55362,1902
55363,415
55364,1015
55365,<=5
55366,19
55367,86
55368,237
55369,3244
55370,82
55371,1409
55372,2766
55373,430
55374,1472
55375,320
55376,1783
55377,7
55378,2563
55379,4530
55380,0
55381,166
55382,340
55383,0
55384,123
55385,86
55386,748
55387,1093
55388,389
55389,263
55390,259
55391,1177
55392,<=5
55393,0
55394,<=5
55395,280
55396,158
55397,184
55398,1401
55399,<=5
55401,898
55402,50
55403,1131
55404,3085
55405,1063
55406,2062
55407,3616
55408,3133
55409,1006
55410,988
55411,2852
55412,1891
55413,1147
55414,2695
55415,487
55416,2479
55417,1432
55418,2388
55419,1531
55420,2162
55421,3166
55422,2362
55423,3504
55424,672
55425,1215
55426,1936
55427,1824
55428,3385
55429,3054
55430,2561
55431,1506
55432,2995
55433,3333
55434,2990
55435,1136
55436,954
55437,1378
55438,1042
55439,601
55440,52
55441,1381
55442,896
55443,3824
55444,1695
55445,1365
55446,1634
55447,1305
55448,2639
55449,3037
55450,<=5
55454,816
55455,134
55458,15
55459,<=5
55460,0
55467,0
55468,<=5
55470,<=5
55472,<=5
55473,<=5
55474,<=5
55478,<=5
55479,<=5
55480,<=5
55483,<=5
55484,0
55485,0
55486,<=5
55487,<=5
55488,<=5
55550,0
55551,0
55552,0
55553,0
55554,0
55555,<=5
55556,0
55557,0
55558,0
55559,0
55560,<=5
55561,0
55562,0
55563,0
55564,0
55565,0
55566,0
55567,0
55568,0
55569,0
55570,0
55571,0
55572,0
55573,0
55574,0
55575,0
55576,0
55577,0
55578,0
55579,0
55580,0
55581,<=5
55582,0
55583,0
55584,0
55585,0
55586,0
55587,0
55588,0
55589,0
55590,0
55591,0
55592,0
55593,0
55594,0
55595,0
55596,0
55597,0
55598,0
55599,0
55601,12
55602,<=5
55603,27
55604,82
55605,<=5
55606,9
55607,11
55609,20
55612,14
55613,8
55614,237
55615,<=5
55616,444
55702,47
55703,40
55704,78
55705,197
55706,56
55707,216
55708,66
55709,276
55710,120
55711,49
55712,39
55713,73
55716,25
55717,13
55718,290
55719,359
55720,1386
55721,239
55722,89
55723,163
55724,68
55725,11
55726,85
55730,<=5
55731,168
55732,73
55733,398
55734,390
55735,105
55736,74
55738,38
55741,201
55742,25
55744,1525
55745,0
55746,1168
55747,<=5
55748,105
55749,34
55750,91
55751,67
55752,27
55753,45
55756,38
55757,39
55758,8
55760,167
55763,21
55764,37
55765,73
55766,8
55767,417
55768,231
55769,109
55771,88
55772,15
55775,92
55777,0
55779,313
55780,11
55781,56
55782,27
55783,156
55784,<=5
55785,13
55786,34
55787,26
55790,91
55792,719
55793,49
55795,178
55797,149
55798,38
55802,256
55803,1314
55804,918
55805,806
55806,653
55807,788
55808,451
55810,804
55811,2690
55812,838
55814,<=5
55815,<=5
55816,21
55901,4155
55902,1332
55903,74
55904,2844
55905,12
55906,1159
55909,97
55910,93
55912,3295
55917,244
55918,58
55919,106
55920,634
55921,438
55922,34
55923,314
55924,105
55925,121
55926,45
55927,367
55929,101
55931,27
55932,167
55933,12
55934,240
55935,69
55936,157
55939,124
55940,170
55941,73
55942,<=5
55943,205
55944,555
55945,98
55946,241
55947,605
55949,109
55950,13
55951,120
55952,209
55953,61
55954,81
55955,213
55956,129
55957,63
55959,170
55960,268
55961,13
55962,50
55963,344
55964,467
55965,146
55967,65
55968,10
55969,73
55970,78
55971,282
55972,417
55973,25
55974,163
55975,246
55976,694
55977,22
55979,45
55981,371
55982,30
55983,97
55985,138
55987,2979
55988,<=5
55990,65
55991,106
55992,442
56001,4456
56002,15
56003,1195
56006,<=5
56007,2191
56009,123
56010,83
56011,892
56013,350
56014,67
56016,97
56017,136
56019,79
56020,<=5
56021,96
56022,<=5
56023,33
56024,301
56025,51
56026,153
56027,100
56028,98
56029,49
56030,0
56031,1157
56032,26
56033,32
56034,35
56035,54
56036,130
56037,94
56039,83
56041,87
56042,42
56043,34
56044,156
56045,45
56046,6
56047,<=5
56048,356
56050,98
56051,37
56052,62
56054,69
56055,329
56056,8
56057,458
56058,531
56060,25
56062,369
56063,192
56065,235
56068,97
56069,475
56071,1291
56072,206
56073,1499
56074,178
56075,7
56078,33
56080,40
56081,662
56082,1050
56083,57
56084,0
56085,621
56087,273
56088,211
56089,19
56090,45
56091,23
56093,1555
56096,226
56097,337
56098,185
56101,732
56110,212
56111,29
56113,18
56114,42
56115,136
56116,69
56117,60
56118,36
56119,125
56120,101
56121,55
56122,101
56123,41
56125,<=5
56127,20
56128,273
56129,96
56131,341
56132,27
56134,41
56136,81
56137,112
56138,138
56139,38
56140,<=5
56141,17
56142,95
56143,438
56144,104
56145,65
56146,0
56147,26
56149,126
56150,264
56151,75
56152,153
56153,31
56155,58
56156,742
56157,79
56158,53
56159,336
56160,11
56161,44
56162,24
56164,620
56165,50
56166,24
56167,68
56168,95
56169,81
56170,37
56171,147
56172,331
56173,38
56174,36
56175,295
56176,101
56177,0
56178,175
56180,129
56181,102
56183,136
56185,63
56186,37
56187,2958
56201,3630
56207,15
56208,160
56209,255
56210,<=5
56211,50
56212,39
56214,53
56215,474
56216,75
56218,43
56219,67
56220,322
56221,80
56222,231
56223,110
56224,20
56225,83
56226,14
56227,9
56228,70
56229,166
56230,74
56231,24
56232,290
56235,31
56236,33
56237,44
56239,92
56240,81
56241,360
56243,128
56244,113
56245,43
56248,57
56249,20
56251,140
56252,146
56253,84
56255,38
56256,252
56257,25
56258,1971
56260,86
56262,66
56263,59
56264,304
56265,944
56266,116
56267,525
56270,105
56271,97
56273,572
56274,12
56276,18
56277,293
56278,278
56279,154
56280,47
56281,89
56282,168
56283,631
56284,219
56285,102
56287,8
56288,453
56289,77
56291,38
56292,49
56293,112
56294,8
56295,26
56296,188
56297,74
56301,3778
56302,45
56303,2858
56304,2424
56307,680
56308,2730
56309,141
56310,589
56311,42
56312,247
56313,<=5
56314,130
56315,137
56316,123
56317,7
56318,138
56319,115
56320,1105
56321,167
56323,32
56324,80
56325,17
56326,174
56327,49
56328,15
56329,864
56330,165
56331,205
56332,126
56333,16
56334,457
56335,23
56336,171
56338,140
56339,81
56340,266
56341,<=5
56342,190
